x,y,kappa
89621.2507828,43165.230422,-0.1494148
89622.1654536,43164.8968469,-0.0980031
89623.0939418,43164.4481326,-0.0801893
89623.9795738,43163.923848,-0.0830828
89624.8274072,43163.3169576,-0.0932571
89625.5780714,43162.6644622,-0.0956754
89626.2469967,43161.9635306,-0.0889226
89626.8653633,43161.1917069,-0.0775534
89627.428616,43160.3652705,-0.0675725
89627.9346137,43159.5026944,-0.0590577
89628.3888645,43158.6113396,-0.0518238
89628.7957562,43157.6991472,-0.0440398
89629.1618638,43156.770804,-0.0357373
89629.4944943,43155.8302656,-0.028503
89629.8004742,43154.8797666,-0.0223746
89630.0856695,43153.9207913,-0.0163875
89630.3550221,43152.9575705,-0.0102392
89630.6142313,43151.9926947,-0.0038091
89630.8698701,43151.0264437,0.0026078
89631.1281612,43150.0603463,0.0088389
89631.3950206,43149.0963667,0.0147952
89631.6758218,43148.1374393,0.0208376
89631.9762407,43147.1854787,0.0273142
89632.3027866,43146.2415157,0.0346919
89632.6617408,43145.309633,0.0418482
89633.0600586,43144.3918621,0.0485687
89633.5032748,43143.4931656,0.0558696
89633.9952524,43142.6222781,0.0644945
89634.5384258,43141.7907153,0.0751978
89635.1320994,43141.0155354,0.0914418
89635.8019193,43140.2861656,0.0993295
89636.56927,43139.6015675,0.0972739
89637.393916,43139.0005938,0.0912503
89638.276386,43138.4779639,0.1052582
89639.1709793,43138.0709955,0.1477786
89640.1863209,43137.7848214,0.1658771
89641.2012972,43137.6759417,0.1064441
89642.0995428,43137.6691099,-0.0009508
89643.0962504,43137.7189488,0.3016406
89644.0211831,43138.018203,0.2621522
89644.8678249,43138.5702412,0.1625808
89645.5981562,43139.2562871,0.242582
89646.1206292,43140.0548802,0.2859715
89646.4503289,43141.0382159,0.0742151
89646.6450962,43141.9161925,0.0840336
89646.7840897,43142.9290479,0.1030175
89646.8130512,43144.0040718,0.1266475
89646.7165951,43144.994697,0.1011743
89646.517937,43145.9802783,0.083294
89646.2389302,43146.9398388,0.0717547
89645.8844969,43147.8931499,0.0657065
89645.4748821,43148.805448,0.0573146
89645.021538,43149.678932,0.0466899
89644.521848,43150.5418529,0.0350741
89643.9914203,43151.3882572,0.0227209
89643.4429634,43152.2209105,0.0099648
89642.8852191,43153.048363,0.0046023
89642.3229017,43153.8743382,0.0016942
89641.7586848,43154.7000927,-0.001198
89641.1958016,43155.5257225,-0.0023142
89640.6348647,43156.3525876,-0.0028324
89640.0760069,43157.1814283,-0.0033481
89639.5203264,43158.0115421,-0.0039092
89638.9677893,43158.8439746,-0.0044848
89638.4186024,43159.6794632,-0.0050574
89637.8740905,43160.5168549,-0.0045112
89637.3332583,43161.356836,-0.0035329
89636.7948935,43162.1995078,-0.002558
89636.2590726,43163.042304,0.0026738
89635.7209117,43163.8837624,0.0097314
89635.1738649,43164.7210638,0.0167306
89634.6139153,43165.5474695,0.0248164
89634.0336486,43166.3597688,0.0334152
89633.4251683,43167.1540997,0.0418316
89632.7889258,43167.9166886,0.0495688
89632.116231,43168.6468519,0.056179
89631.3954036,43169.3462829,0.0613706
89630.6219102,43170.009604,0.0540293
89629.810853,43170.6308707,0.040566
89628.9961716,43171.2031177,0.0309946
89628.1749372,43171.7430754,0.0199021
89627.3365788,43172.2723563,-0.0031417
89626.5044771,43172.8012499,-0.025959
89625.6922201,43173.3455221,-0.0345908
89624.8850393,43173.9274005,-0.0413789
89624.0820376,43174.5592608,-0.0517719
89623.2967336,43175.2485944,-0.0617238
89622.5672944,43175.9776313,-0.0764404
89621.9383758,43176.7118538,-0.1078781
89621.3590781,43177.5630466,-0.1577383
89620.9390292,43178.458871,-0.204006
89620.7125096,43179.3669466,-0.2130588
89620.6645577,43180.3467261,-0.1287142
89620.742509,43181.3344996,-0.0900305
89620.9094986,43182.2925053,-0.1434968
89621.2380089,43183.2936,-0.1741422
89621.6846143,43184.1479016,-0.1367112
89622.2703953,43184.9711011,-0.1232843
89622.9619087,43185.720623,-0.1278813
89623.7156643,43186.3522309,-0.1351536
89624.5576738,43186.8851471,-0.1339297
89625.4896859,43187.3121135,-0.12112
89626.4794077,43187.6223268,-0.115406
89627.469305,43187.8055792,-0.1438175
89628.4516006,43187.8397731,-0.2050094
89629.4803264,43187.6745094,-0.1277987
89630.3618311,43187.4219175,0.067255
89631.2563649,43187.166,-0.1041504
89632.2415494,43186.7824161,-0.1343849
89633.0331644,43186.3573376,-0.0642464
89633.8884839,43185.8256629,-0.0353873
89634.7874218,43185.2185614,-0.0213204
89635.6509683,43184.6074283,-0.0003957
89636.4908447,43184.0125281,0.0250256
89637.2975851,43183.4715989,0.0635017
89638.1861324,43182.9563475,0.0887744
89639.102931,43182.5263596,0.0549661
89639.9492628,43182.1806005,-0.0054185
89640.8571729,43181.8333683,0.1235202
89641.843605,43181.5831576,0.1733796
89642.7753444,43181.5001447,0.1332525
89643.7862642,43181.5437747,0.1218861
89644.8235744,43181.7223138,0.12045
89645.7706119,43182.0047182,0.0899476
89646.7043524,43182.3776514,0.0666344
89647.6147707,43182.8146827,0.0478447
89648.5082377,43183.2973057,0.0243208
89649.3752353,43183.7933888,-0.0009779
89650.2272535,43184.2796843,-0.0273693
89651.0975487,43184.7487106,-0.0349923
89651.9869283,43185.1892984,-0.0388451
89652.9122928,43185.6040187,-0.0416324
89653.8413479,43185.9719941,-0.0634463
89654.8014685,43186.2824666,-0.0922373
89655.7738536,43186.4991481,-0.1311849
